Code,Country,Year,Sex,Litres
AFG,Afghanistan,2019,F,0.004
BGD,Bangladesh,2019,F,0.001
KWT,Kuwait,2019,A,0
KWT,Kuwait,2019,F,0
KWT,Kuwait,2019,M,0
LBY,Libya,2019,F,0.002
MRT,Mauritania,2019,A,0
MRT,Mauritania,2019,F,0
MRT,Mauritania,2019,M,0
SAU,Saudi Arabia,2019,A,0
SAU,Saudi Arabia,2019,F,0
SAU,Saudi Arabia,2019,M,0
SOM,Somalia,2019,A,0
SOM,Somalia,2019,F,0
SOM,Somalia,2019,M,0
SDN,Sudan,2019,F,0.001
AFG,Afghanistan,2019,A,0.016
BGD,Bangladesh,2019,A,0.005
BGD,Bangladesh,2019,M,0.009
EGY,Egypt,2019,F,0.035
IDN,Indonesia,2019,F,0.027
LBY,Libya,2019,A,0.008
NER,Niger,2019,F,0.034
PAK,Pakistan,2019,F,0.028
SDN,Sudan,2019,A,0.005
SDN,Sudan,2019,M,0.009
YEM,Yemen,2019,F,0.006
SYR,Syrian Arab Republic,2019,F,0.044
YEM,Yemen,2019,A,0.028
AFG,Afghanistan,2019,M,0.029
LBY,Libya,2019,M,0.015
YEM,Yemen,2019,M,0.049
BTN,Bhutan,2019,F,0.063
COM,Comoros,2019,F,0.057
IRQ,Iraq,2019,F,0.061
JOR,Jordan,2019,F,0.072
SLE,Sierra Leone,2019,F,0.066
DZA,Algeria,2019,F,0.14
DJI,Djibouti,2019,F,0.098
GIN,Guinea,2019,F,0.13
MAR,Morocco,2019,F,0.11
SEN,Senegal,2019,F,0.11
IRN,Iran (Islamic Republic of),2019,F,0.15
TLS,Timor-Leste,2019,F,0.15
TON,Tonga,2019,F,0.13
IDN,Indonesia,2019,A,0.11
NER,Niger,2019,A,0.13
PAK,Pakistan,2019,A,0.1
BRN,Brunei Darussalam,2019,F,0.14
EGY,Egypt,2019,A,0.15
OMN,Oman,2019,F,0.17
MYS,Malaysia,2019,F,0.21
TJK,Tajikistan,2019,F,0.24
SYR,Syrian Arab Republic,2019,A,0.2
BTN,Bhutan,2019,A,0.2
IDN,Indonesia,2019,M,0.19
IRQ,Iraq,2019,A,0.24
PAK,Pakistan,2019,M,0.18
NER,Niger,2019,M,0.23
MDV,Maldives,2019,F,0.27
KIR,Kiribati,2019,F,0.26
COM,Comoros,2019,A,0.25
SLE,Sierra Leone,2019,A,0.26
JOR,Jordan,2019,A,0.31
EGY,Egypt,2019,M,0.26
BTN,Bhutan,2019,M,0.32
QAT,Qatar,2019,F,0.26
BHR,Bahrain,2019,F,0.34
GMB,Gambia,2019,F,0.34
TLS,Timor-Leste,2019,A,0.4
DJI,Djibouti,2019,A,0.4
SEN,Senegal,2019,A,0.41
TON,Tonga,2019,A,0.38
SYR,Syrian Arab Republic,2019,M,0.36
IRQ,Iraq,2019,M,0.43
BRN,Brunei Darussalam,2019,A,0.41
ERI,Eritrea,2019,F,0.37
MDG,Madagascar,2019,F,0.35
LBN,Lebanon,2019,F,0.4
TUR,TÃ¼rkiye,2019,F,0.44
TUV,Tuvalu,2019,F,0.4
ARE,United Arab Emirates,2019,F,0.41
GIN,Guinea,2019,A,0.47
MAR,Morocco,2019,A,0.49
COM,Comoros,2019,M,0.45
SLE,Sierra Leone,2019,M,0.47
JOR,Jordan,2019,M,0.52
NPL,Nepal,2019,F,0.48
TUN,Tunisia,2019,F,0.49
AZE,Azerbaijan,2019,F,0.54
TGO,Togo,2019,F,0.52
DZA,Algeria,2019,A,0.61
TLS,Timor-Leste,2019,M,0.65
TON,Tonga,2019,M,0.64
PNG,Papua New Guinea,2019,F,0.57
SLB,Solomon Islands,2019,F,0.55
GTM,Guatemala,2019,F,0.63
IRN,Iran (Islamic Republic of),2019,A,0.7
DJI,Djibouti,2019,M,0.72
SEN,Senegal,2019,M,0.73
BRN,Brunei Darussalam,2019,M,0.66
VUT,Vanuatu,2019,F,0.65
MOZ,Mozambique,2019,F,0.68
RWA,Rwanda,2019,F,0.69
FSM,Micronesia (Federated States of),2019,F,0.72
UZB,Uzbekistan,2019,F,0.71
MYS,Malaysia,2019,A,0.76
GIN,Guinea,2019,M,0.83
KIR,Kiribati,2019,A,0.76
MMR,Myanmar,2019,F,0.77
CAF,Central African Republic,2019,F,0.79
WSM,Samoa,2019,F,0.81
SGP,Singapore,2019,F,0.8
TKM,Turkmenistan,2019,F,0.84
MAR,Morocco,2019,M,0.86
TJK,Tajikistan,2019,A,0.87
OMN,Oman,2019,A,0.88
COD,Democratic Republic of the Congo,2019,F,0.86
MDG,Madagascar,2019,A,1.02
CIV,Cote d'Ivoire,2019,F,0.95
ETH,Ethiopia,2019,F,1.04
KEN,Kenya,2019,F,1
NRU,Nauru,2019,F,1.04
LKA,Sri Lanka,2019,F,1.02
DZA,Algeria,2019,M,1.07
GMB,Gambia,2019,A,1.11
QAT,Qatar,2019,A,1.15
IRN,Iran (Islamic Republic of),2019,M,1.25
OMN,Oman,2019,M,1.21
ERI,Eritrea,2019,A,1.23
TUV,Tuvalu,2019,A,1.25
TCD,Chad,2019,F,1.2
FJI,Fiji,2019,F,1.16
MWI,Malawi,2019,F,1.16
VEN,Venezuela (Bolivarian Republic of),2019,F,1.16
HND,Honduras,2019,F,1.22
ZWE,Zimbabwe,2019,F,1.25
MLI,Mali,2019,F,1.22
MYS,Malaysia,2019,M,1.29
KIR,Kiribati,2019,M,1.31
ISR,Israel,2019,F,1.28
CRI,Costa Rica,2019,F,1.3
SLV,El Salvador,2019,F,1.32
MDV,Maldives,2019,A,1.43
NPL,Nepal,2019,A,1.36
